label,text
negative,"I knew it was a bad idea to come back here.\n\nStrike 1: Their employees are callous and clueless. One of the check-in females has the worst I mean the worst resting jerk face I've ever seen. You know exactly who I'm talking about too. Figure your sh*t out people!   \n\nStrike 2: They pack so many people inside this club that I couldn't even stand in my own body. I had to not exist in order to stand there. For sure a fire hazard. \n\nStrike 3: The water in the bathroom sinks are forever scalding hot. I get it to prevent people from filling up their bottles with water instead of buying water. But dear lord I get second degree burns just washing my hands. Safe water temperature should be at or below 120 degrees F. Yeeeeah. About that. It's well over 120. \n\nStrike 4: The free drink tickets can only be claimed at one bar on the first floor. Well how do you like that? Especially after standing in line for 20 minutes at the wrong bar... Really!!?!???\n\nMy favorite is still Omnia whackkasan's smarter prettier way cooler sister. \n\nComing to this place is cruel and unusual punishment. I can't stand this place."
negative,"Ladiessssssss....hold tight to those purses!\n\nIf you're a woman standing on the dance floor with a purse you're a target. There's some kind of crime ring happening that can ruin an entire Vegas trip if they get their hands on too many personal items. They appear to be pick pocketing cell phones and if they can wiggle a wallet out while they're at it game on. A handful of girls in our group noticed their cell phones were missing about an hour into the night and once those of us that still had ours started flashing the ground to see if we could find them ladies dancing around us jumped in announcing that their cell phones had been swiped too.\n\nSadly Hakkasan's security guys couldn't do anything about it because their job is to keep the fire lanes clear and keep bottle service VIPs away from the commoners. It's a shame because if they had just put a few more security guards on the dance floor after the many complaints we sent their way about the situation some people could have been safe from the thievery.\n\nLosing your phone or ID on a Vegas weekend is probably one of the worst scenarios you can think of because your whole life is put on hold and you have to jump through hoops (while on vacation) to get everything back in order.\n\nProps to securing kick ass DJs and the unlimited confetti budget but there's a serious issue taking place under Hakkasan's roof that needs to be addressed. And fast."
negative,"Went there on opening weekend on Saturday.\n\n1.  A billion stair-steps everywhere.  I had fun watching drunk girls trip and fall all over the place.  TROLOLOLOL loads of laughter.  Someone is going to fall and die and they will get sued and eventually shut down.  You would think being built by Asians this place would have better engineered walk-ways and lighted staircases but NOPE.  Instead they hire a bouncer to hold a flashlight to shine each and every staircase.  Kids this is why you go to college.\n\n2.  Do we really need an Asian themed club?  AS IF THERE AREN\"T ENOUGH ASIANS IN VEGAS CLUBS.  Yeah I said it I'm Asian too UMAD?  Can we have some diversity?  This way we won't scare all the White girls and Hispanic girls you know the ones actually capable of flirting and talking to strangers instead of the circle jerk AZNs.\n\n3.  No outside patio!!  Some times I just want to connect with a smart girl and stare at her big beautiful eyes and tell her my awesome stories instead of just getting bumped by Rotunda and have armpit sweat slapped on my face.  Can't beat XS' outdoor patio.\n\n4.  They don't give out tap water!  The bottle water is 9$!  I didn't come here to drink and get stupid I came here to flirt and being the stingy Asian that I am I think 9$ for water is a really bad deal.  My six pack requires a lot of babysitting and no thanks alcohol.  Asian girls: don't ask me to buy you a drink or if I have a table... especially those of you coming from LA.  It makes you sound really classless and ghetto.  You're not a princess and you're not entitled to free things.  Mommy spoiled you too much.\n\nIf you're a nerdy Asian guy who is tired of being BETA and put in the FRIEND ZONE by your rude bitchy Asian female friends and you want to be alpha aesthetic and learn how to pick up girls in Vegas or anywhere for that matter hit me up.  Here is a video of me in Vegas.\n\nhttp:\/\/www.youtube.com\/watch?v=g_4X-Yzs7bU"
negative,"Dear Calvin Harris\n\nI had an AMAZING time at Hakkasan this past weekend especially when you were on the decks but many of my friends did not because their cell phones and wallets were stolen right out of their purses while they were on the dance floor. Could you please speak to Hakkasan management and urge them to increase security or safety for their patrons so that cell phone theft rings don't attack good people just out trying to have a good time?  \n\nI don't have an exact number but I spoke to at least 20 girls who were pick-pocketed this past Saturday night (6 of which were in my group of friends) and many lost such valuables as their cell phones and wallets (including their IDs) which means their Vegas hopes and dreams were pretty much sunk as soon as they were ROBBED under the watch of Hakkasan Management.\n\nAnyways I know this is a shot in the dark and you may never even read this but in the off chance that you do PLEASE bring this to the attention of Hakkasan management so that this type of thing doesn't happen again. I just don't want these thieves running around Las Vegas ruining anyone's good time. \n\nThanks for listening and keep making beautiful music...YOU ARE THE MAN!\n\nLove\nMike"
negative,"Discriminatory. Even if you have a reservation for table service the host we were in contact with for months prior (Brad Stiles) and even confirmed with the week of doesn't care unless you're of European ethnicity.  My wife checked us in with Brad then he just rudely walked away when he saw we weren't a group of his discriminatory preference.  We bounced after an hour of waiting in the \"VIP table service\" chaos.\n\nRude. Unprofessional. Disorganized. Discriminatory.\n\nNever coming back here again.  Never experienced anything like this anywhere in the world.  Ever.  Believe all of the crappy reviews.  They're true.\n\nBetter options: Marquee XS and anything else in Vegas other than Hakkasan."
negative,"Never again. \n\nI was actually quite excited to see Calvin Harris at Hakkasan. Everyone is always raving about this club and I've heard that CH can do no wrong.\n\nWrong.\n\nFirst off what is up with these stairs? There are flights and flights of BLACK stairs. This is a riot death waiting to happen. At the end of the night drunk girls in heels were descending these in droves and I kept imagining my untimely death in an emergency. I guess you can wait for one of the elevators but you might just wait there for the rest of your life. \n\nThe dance floor is almost completely unregulated. It is a sardine can. It's almost impossible to dance and there are people trying to knock you over every two seconds. You are literally being pushed for the entirety of your time there. You can't even stand up straight. Then drunk idiots start jumping up and down and going crazy when there is absolutely no room to do so. \n\nTerrible. \n\nPeople dump their drinks all over the floor because they don't want to deal with trying to leave the floor and coming back through all the madness. Your feet will be wet and you will be slipping on and kicking glasses and bottles. \n\nTwo girls got into a fight in the first 30 minutes we were there. Ghetto.\n\nI swear everyone was farting. \n\nDisgusting.\n\nI don't know if it was just the crowd but the vibe was off. 90% of the people weren't dancing. Yes there was barely any room but even the people on other landings weren't dancing either. Were they all just Calvin Harris fans wanting to watch his dj-ing? I don't get it. \n\nWhen I went to go to the bathroom I was denied entrance back onto the floor. Wtf? Luckily I made friends with one of the staff who let me back through. So tip if you want to stay on the dance floor make sure you don't have anything to drink because the bathrooms are not accessible from the floor and you'll be @$$ed out. Or you can do what I did and make friends.\n\nNone of us had fun. It was a bummer of an evening that almost made us want to stay in the following night (one girl in our group actually did) and none of us want to ever return. Luckily Omnia was a total blast.\n\nI don't get how people adore this club and talk smack about XS. I'd go there any day of the week over this hellhole."
negative,"I've had the chance to visit Hakkasan and XS this past weekend and let me tell you that XS completely blows it out of the water on almost every level.  Sure Hakkasan has exclusive contracts with deadmau5 tiesto and calvin harris but XS' 2013 residency lineup is nothing to scoff at: Porter Robinson Knife Party Avicii Steve Angello Eric Prydz Afrojack etc.   But an amazing club experience from a consumer's standpoint is more than just who comes on the decks at 1:30AM.  \n\nThere are a plethora of factors both tangible and intangible that these new clubs neglect that ultimately leads me to the conclusion that XS remains the best club in Las Vegas over Hakkasan and Marquee.  Here are a few reasons:\n\n1) Hakkasan should be renamed Hakkastairs due to the massive amount of stairs that you cannot avoid and you MUST take to even get into the main dance floor.  This is also a major problem with Marquee's presale line as you HAVE to walk up like 10 flights of stairs to get to the main dance floor.  Have fun with that in your 5 inch heels ladies.\n\n2) No outdoor patio area?!?!  Is this real life?  No pool? What is this 2006?\n\n3) No gambling section?!?  No water fountain??  No I don't want to pay 9 dollars for your bottle of water.  And give me the option to play blackjack and lose $1000 but at least I get a couple free drinks.\n\n4) With XS and Marquee when you have a presale ticket you never have to wait more than 10-15 minutes.   Hakkasan's presale line took approximately 1 hour. \n\n5) No re-entry stamps at Hakkasan....seriously?  But what if its just me and a couple of my guy friends and we get there at 9:00PM just to get stamps with the intention of coming back at a more reasonable Vegas club time at 11:30ish?  \n\n6) Hakkasan was such a letdown that my friends and I left before the headliner even came on.  Hakkasan is like a nicer marquee (inside only as there is no outside to hakkasan).  To Hakkasan's credit they have a very spacious dance floor and their production value of their lights and lazers is unmatched but a club experience is more than that and XS beats Hakkasan down badly when it comes to every other relevant factor\n\n7) I've heard that Hakkasan charges 43% on top of your table minimum... Now I see how they are paying abnormally above market prices for deadmau5 tiesto and calvin harris.  This is absurd.\n\nUnfortunately the hype for Hakkasan was too big since it was supposed to be the XS killer but just like Marquee they both fall very short of the top tier in which XS stands alone.\n\nNow we get to see Light take its shot on Memorial Weekend.\n\nTLDR; Hakkasan was overhyped and I was very underwhelmed.  XS remains the best nightclub hands down for a variety of factors."
negative,"Bottom line- this club is MISERABLE if you don't have a table. For guys no big deal. You can jump around just fine. For girls in gorgeous blindingly painful high heels this is a problem. \n\nThere is ZERO space to move or walk around. If you find a spot to hang your hat bouncers will tell you to keep moving. Other reviews say \"if you are a girl hope that some guys invite you to a table.\" Chances are there are 100 girls hotter (by Vegas definition) than you and me in this club... I've seen them with my own eyes there. The girls that work there also fit into this category.\n\nHakkasan has the most incredible DJs headlining no doubt. That is the only reason why people go. Unless you have a hard-on for Tiesto and have been dying to see him (like me) I would pick another club. It's not a pleasant clubbing experience without a table here. \n\nI also have a problem with one of the bartenders. You see I used to bartend and always count the pours at each club I go to. I was surprised she was pouring 4-count (1 oz) drinks for $16 apiece. I would expect at least 1.25 in this town. When I asked what the pour was she told me 1.5 and I asked her why she was pouring one ouncers instead. This is unacceptable. But she's hot bitchy and has the booze so guess who ends up being right? And I still tipped her.\n\nIf your time is limited in Vegas I recommend going to XS or Drai's for a fun experience with more room.  I'm grateful we got in for free but even for free again with Steve Aoki or Calvin Harris headlining I wouldn't come back. It's so beyond crowded that it's just not fun...\n\nJust Hakkadon't."
negative,"Went here for the first time on Friday night and it was definitely crazy in here. \n\nLil Jon was playing that night so it was super packed as in you can't even dance or move because everyone is pushing and shoving each other. It's such a fire hazard and honestly it's not that fun when there's that many people since you can't even dance.  Someone call the fire department! It was getting defensive! you have to aggressively dance in order to get people off of you. Man everyone likes to start fights in here.\n\nTheir dance floor is super small compared to Marquee and XS I suggest going to the second level if you want to avoid getting bruises. I heard this is usually and EDM club and I hate EDM but luckily that night it was Hip Hop since Lil Jon came out. \n\nDrinks are about $18 per cocktail and $10 for a bottle of Fiji Water..."
negative,"Thai cuisine is a perfect blend of flavors - salty sweet sour bitter and spicy.  Almost every Thai dish combines all five tastes.\n\nHow does Thai Spices fare?  Not that well.  I had ordered the Phucket Lemon Fish even though I also had my eyes set on either the Shrimp and Crab Pad Thai or the Yummy Duck Curry.  Since my dinner companion got Pumpkin Curry which I fell in love with at my favorite Thai place by the initials of CTF I decided to get a fish dish instead so we can share.  Two curry dishes just doesn't give much variety.  \n\nSo the Phucket Lemon Fish was disappointing.  I also have a sneaking suspicion that the fish fillet is of the frozen variety which is a bummer since Mekong Supermarket is right across the hallway.  The lemony ginger sauce it sits in was bright and flavorful.  Too bad the fish didn't retain any of that flavor.  The Pumpkin Curry with chicken was okay.  The curry had a very mild flavor the chicken was a bit dry and the pumpkin was sadly overcooked.  As for the mango smoothie that was probably the tastiest thing we had during the meal.\n\nI'm honestly not a big eater but I definitely walked away from the $28 dinner hungry.  Portions are small price is a bit high for what you're actually getting and the service is mediocre.  It's not the worst place I've ever been to but I won't be back."
